,Расстояние,Кузов,Время загрузки,Время выгрузки,Цена,Откуда,Куда,Масса,Объем
82,397 км,тент.,5 июл,,,Ульяновск,Пенза,20,86
83,239 км,тент. откр. негаб.,постоянно по раб.дням,,,Ульяновск,"Лямбирь, Мордовия республика",20,-
84,197 км,ссвл.,1-6 июл,,,Ульяновск,"Каменка (Атяшевский р), Мордовия республика","1,5",40
85,401 км,тент.,4 июл 15:00-17:00,5 июл 8:00-17:00,,"Ульяновск, ул.Маяковского 55/11","Бессоновка, Пензенская область, Дорожная 22а","3,6",-
86,176 км,закр.,постоянно по раб.дням,8 июл,"14 000 ₽;79,5₽/км",Ульяновск,"Атяшево (Атяшевский р) село, Мордовия республика",13,86
87,239 км,20 маш. тент. борт.,постоянно по раб.дням,,,Ульяновск,"Лямбирь, Мордовия республика",20,-
88,6367 км,тент.,5 июл,,,"Новоульяновск, Ульяновская область, город","Новоульяновск, Ульяновская область, город",24,164
89,397 км,закр. реф.,4 июл,,"20 000 ₽;50,4₽/км",Ульяновск,Пенза,20,82
90,315 км,закр.,4 июл 8:00-17:00,9:00-18:00,,"Ульяновск, Димитровградское шоссе, 89","Кузнецк, Пензенская область, Посельский массив, ЗУ №1","0,195","1,2"
91,364 км,тент.,5-6 июл круглосуточно,,"25 000 ₽;68,7₽/км","Николаевка, Ульяновская область","Умет, Мордовия республика",20,-
92,658 км,тент.,постоянно ежедн.,,,Ульяновск,"Балашов, Саратовская область",20,82
93,303 км,цем. цист.,постоянно ежедн.,,1 000 ₽/тс НДС 1 000 ₽/т с НДС,"Красный Гуляй, Ульяновская область","Нижняя Елюзань, Пензенская область",20,-
94,265 км,20 маш. тент. борт.,постоянно по раб.дням,,"16 000 ₽;60,4₽/км","Ульяновск, 6-ОЙ ИНЖЕНЕРНЫЙ","Лямбирь, Мордовия республика",20,-
95,397 км,тент. изотерм реф.,постоянно по раб.дням,,,Ульяновск,Пенза,20,82
96,435 км,закр. реф.,постоянно ежедн. 0:00,,,Ульяновск,Пенза,20,82
97,342 км,тент.,1-4 июл,,,"Ясашная Ташла, Ульяновская область",Пенза,20,82
98,397 км,тент. изотерм реф.,1-6 июл,,,Ульяновск,Пенза,20,82
99,209 км,тент. борт.,постоянно ежедн. круглосуточно,,"9 000 ₽;43,1₽/км","Новоспасское, Ульяновская область",Пенза,20,82
100,373 км,тент. борт. шал.,постоянно ежедн. круглосуточно,,,"Новоспасское, Ульяновская область","Ковылкино, Мордовия республика",20,20
101,209 км,тент. борт. шал.,29 июн-4 июл,,,"Новоспасское, Ульяновская область",Пенза,22,-
